station,type,numof.routes,lat,long,routelist,HRA_name,geometry
Metro Stop,KC Metro,1,47.27535808,-122.2500713,917,"Lakeland, Algona, Pacific, and Milton","c(-122.25007132107, 47.2753580836286)"
Metro Stop,KC Metro,1,47.27411236,-122.2500981,917,"Lakeland, Algona, Pacific, and Milton","c(-122.250098052309, 47.2741123649338)"
Metro Stop,KC Metro,1,47.46392748,-122.2880031,599,Tukwila,"c(-122.288003145497, 47.4639274799858)"
Metro Stop,KC Metro,1,47.51093865,-122.464722,975,Vashon,"c(-122.464721972595, 47.5109386524893)"
Metro Stop,KC Metro,1,47.42299129,-122.297618,599,Seatac,"c(-122.297617955114, 47.4229912915958)"
Metro Stop,KC Metro,1,47.42215745,-122.2979582,599N,Seatac,"c(-122.297958190719, 47.422157447155)"
Metro Stop,KC Metro,1,47.58950035,-122.3795235,973,Seattle - West Seattle,"c(-122.379523494346, 47.5895003546318)"
Metro Stop,KC Metro,2,47.7632211,-122.3554036,304 331,Shoreline,"c(-122.355403566924, 47.7632211016968)"
Metro Stop,KC Metro,2,47.76513799,-122.3601083,331 348,Shoreline,"c(-122.360108326399, 47.7651379882344)"
Metro Stop,KC Metro,1,47.74511728,-122.3460426,330,Shoreline,"c(-122.346042640442, 47.7451172827333)"
Metro Stop,KC Metro,2,47.76517905,-122.3653518,302 348,Shoreline,"c(-122.36535183977, 47.7651790465349)"
Metro Stop,KC Metro,1,47.74497911,-122.3527465,330,Shoreline,"c(-122.352746454504, 47.7449791131047)"
Metro Stop,KC Metro,2,47.76803113,-122.372334,302 348,Shoreline,"c(-122.37233401464, 47.7680311302789)"
Metro Stop,KC Metro,2,47.77067549,-122.3778994,302 348,Shoreline,"c(-122.377899390226, 47.7706754870421)"
Metro Stop,KC Metro,2,47.76329319,-122.3511437,304 348,Shoreline,"c(-122.351143678315, 47.7632931919597)"
Metro Stop,KC Metro,1,47.76184468,-122.2056875,230,Bothell and Woodinville,"c(-122.205687527745, 47.7618446842158)"
Metro Stop,KC Metro,1,47.76173274,-122.2053064,230,Bothell and Woodinville,"c(-122.205306379506, 47.7617327359397)"
Metro Stop,KC Metro,1,47.76196339,-122.2016241,230,Bothell and Woodinville,"c(-122.201624123105, 47.7619633938657)"
Metro Stop,KC Metro,1,47.76201249,-122.2032683,230,Bothell and Woodinville,"c(-122.20326830303, 47.7620124907675)"
Metro Stop,KC Metro,1,47.76188951,-122.1992311,230,Bothell and Woodinville,"c(-122.199231051662, 47.761889513585)"
Metro Stop,KC Metro,1,47.75894443,-122.199369,342,Bothell and Woodinville,"c(-122.19936903694, 47.7589444287289)"
Metro Stop,KC Metro,3,47.76059491,-122.2002746,239 372E 522E,Bothell and Woodinville,"c(-122.200274575163, 47.7605949050231)"
Metro Stop,KC Metro,3,47.76224441,-122.1958977,230 239 372E,Bothell and Woodinville,"c(-122.195897681644, 47.7622444052423)"
Metro Stop,KC Metro,3,47.7637965,-122.1935838,230 239 372E,Bothell and Woodinville,"c(-122.19358383676, 47.763796503574)"
Metro Stop,KC Metro,2,47.77423041,-122.3471032,302 331,Shoreline,"c(-122.347103201396, 47.7742304053523)"
Metro Stop,KC Metro,2,47.77421908,-122.35126,302 331,Shoreline,"c(-122.351260008622, 47.7742190760135)"
Metro Stop,KC Metro,3,47.47982193,-122.2179814,101 102 107,Renton - North,"c(-122.217981353977, 47.479821934783)"
Metro Stop,KC Metro,1,47.48202861,-122.2185455,107,Renton - North,"c(-122.218545521252, 47.4820286149464)"
Metro Stop,KC Metro,1,47.48209519,-122.2187293,107,Renton - South,"c(-122.218729302732, 47.4820951945875)"
Metro Stop,KC Metro,2,47.47786795,-122.2245583,101 102,Renton - South,"c(-122.224558291406, 47.4778679453482)"
Metro Stop,KC Metro,2,47.47974478,-122.2326126,101 102,Renton - South,"c(-122.232612550096, 47.4797447793711)"
Metro Stop,KC Metro,2,47.47061237,-122.1625751,102 907,Renton - North,"c(-122.162575108634, 47.4706123731857)"
Metro Stop,KC Metro,1,47.35485645,-122.0193915,907,Maple Valley,"c(-122.01939147252, 47.3548564547853)"
Metro Stop,KC Metro,1,47.35150217,-122.0191258,907,Maple Valley,"c(-122.019125777171, 47.3515021734122)"
Metro Stop,KC Metro,1,47.47105604,-122.1632981,907,Renton - North,"c(-122.16329812693, 47.4710560414887)"
