FEATUREDES,NAME,ZIPCODE,LONG_CEN,LAT_CEN,DISTRICT,lat,long,HRA_name,geometry
School-Junior High/Middle,Rose Hill Middle School,98052,-122.1597123,47.66940145,LAKE WASHINGTON,-122.1597109,47.66940355,Redmond - South,"c(-122.159710935143, 47.6694035505643)"
School-Alternative,Stella Schola Middle Schol,98052,-122.1600928,47.66871977,LAKE WASHINGTON,-122.1600913,47.66872187,Redmond - South,"c(-122.160091341547, 47.6687218739136)"
School-Junior High/Middle,Lakeside Middle School,98125,-122.3276793,47.72798345,SEATTLE,-122.327678,47.72798523,"Seattle - Broadview, Haller Lake, and Licton Springs","c(-122.327678046435, 47.7279852257635)"
School-High,Bellevue Christian Junior and High School,98004,-122.2110465,47.62576323,BELLEVUE,-122.2110449,47.62576525,Mercer Island and Point Cities,"c(-122.211044871239, 47.6257652471587)"
School-Elementary,Margaret Mead Elementary School,98074,-122.0530718,47.62559398,LAKE WASHINGTON,-122.0530702,47.62559631,Sammamish,"c(-122.053070232959, 47.6255963065356)"
School-Junior High/Middle,Northshore Middle School,98011,-122.1798121,47.74315039,NORTHSHORE,-122.179811,47.74315243,Bothell and Woodinville,"c(-122.179811043803, 47.7431524281314)"
School-Elementary,Rainier View Elementary School,98178,-122.2631739,47.49886121,SEATTLE,-122.2631717,47.49886313,Seattle - Rainier Valley and Rainier Beach,"c(-122.263171694029, 47.4988631343313)"
School-Other Facility,Administration Center-Vashon Island,98070,-122.4598166,47.4215968,VASHON ISLAND,-122.4598139,47.42159843,Vashon,"c(-122.459813889362, 47.4215984318918)"
School-Elementary,Byron Kibler Elementary School,98022,-121.9965796,47.21056836,ENUMCLAW,-121.9965771,47.21057018,"Enumclaw, Black Diamond, and Southeast King County","c(-121.99657708076, 47.2105701765917)"
School-Elementary,Creekside Elementary School,98075,-122.0637622,47.59469903,ISSAQUAH,-122.0637605,47.59470135,Sammamish,"c(-122.063760500692, 47.5947013527735)"
School-Junior High/Middle,Washington Middle School,98144,-122.3041516,47.59795443,SEATTLE,-122.3041498,47.59795629,"Seattle - Central District, Chinatown-International District, Judkins, and North Beacon Hill","c(-122.30414979118, 47.5979562890565)"
School-Elementary,Parkside Elementary School,98198,-122.3057868,47.38102809,HIGHLINE,-122.3057839,47.38102994,Des Moines and Normandy Park,"c(-122.305783935477, 47.3810299398966)"
School-Alternative,Federal Way Open Doors,98003,-122.2978984,47.31916848,FEDERAL WAY,-122.2978952,47.31917033,Federal Way - North Corridor,"c(-122.297895203476, 47.3191703295924)"
School-High,Kentlake High School,98042,-122.0572657,47.33127883,KENT,-122.0572625,47.33128121,"Enumclaw, Black Diamond, and Southeast King County","c(-122.057262532738, 47.33128121178)"
School-Elementary,Des Moines Elementary School,98198,-122.3226875,47.40489288,HIGHLINE,-122.3226847,47.40489471,Des Moines and Normandy Park,"c(-122.322684739965, 47.4048947128097)"
School-Elementary,Buena Vista Seventh-day Adventist School,98092,-122.1571765,47.28065549,AUBURN,-122.1571731,47.28065764,Auburn - South,"c(-122.157173074113, 47.280657644136)"
School-Elementary,Fall City Elementary School,98024,-121.8961154,47.56954948,SNOQUALMIE VALLEY,-121.8961138,47.56955206,"Duvall, Carnation, Skykomish, and Northeast King County","c(-121.896113799519, 47.5695520604178)"
