"hra_name","year","bedrooms","n","mean","sd","min","Q_25","Q_50","Q_75","max"
"Bellevue - South","2020","3",32,2683.96428571429,624.809629208228,1350,2435,2649,2823.5,4100
"Bellevue - South","2020","4+",29,3369.42307692308,792.8610558264,1600,2908.75,3397.5,3800,4800
"Bellevue - South","2021","1",64,1833.1875,255.238940341529,1000,1686,1785,2086.25,2175
"Bellevue - South","2021","2",249,2355.52208835341,223.323450227305,1200,2279,2376,2485,3168
"Bellevue - South","2021","3",119,3043.09243697479,318.2529904954,2525,2792.5,2990,3238,3795
"Bellevue - South","2021","4+",17,3736.47058823529,613.103694089248,2400,3500,3600,4200,4795
"Bellevue - South","2022","1",129,2105.17829457364,212.655584573257,700,2010,2195,2195,2450
"Bellevue - South","2022","2",190,2675.07368421053,249.384968004846,1250,2550,2658.5,2805,3252
"Bellevue - South","2022","3",49,3002.20408163265,719.449354819128,700,2799,3099,3299,5000
"Bellevue - South","2022","4+",12,4190.83333333333,870.164125932922,2800,3800,4172.5,4500,6300
"Bellevue - West","2017","0",398,1690.45979899497,283.400646773072,96,1539.5,1695,1790,3137
"Bellevue - West","2017","1",1571,2115.32377310389,451.452091331281,321,1818,2055,2348,5784
"Bellevue - West","2017","2",1533,2796.10371819961,965.01766529266,638,2341,2641,3014,12275
"Bellevue - West","2017","3",108,3398.34259259259,1274.43500519563,800,2595,3297.5,4010.75,11000
"Bellevue - West","2017","4+",48,4472.20833333333,1453.16587561666,1790,3499.75,3997.5,5500,8500
"Bellevue - West","2018","0",1670,1721.14730538922,217.581025262197,478,1599,1705,1815,4600
"Bellevue - West","2018","1",6239,2175.65264172154,487.171576699214,199,1878,2125,2350,6650
"Bellevue - West","2018","2",4425,2861.96517412935,1078.70945125016,425,2367.25,2695,3119.25,19000
"Bellevue - West","2018","3",252,3196.64285714286,1230.70669922225,485,2495,2995,3885.75,9395
"Bellevue - West","2018","4+",122,4250.81147540984,1620.56660498405,590,3200,3795,4900,9600
"Bellevue - West","2019","0",995,1697.88475390156,833.061067095363,100,1599,1780,1915,19755
"Bellevue - West","2019","1",3229,2477.41274817137,13151.3237665721,99,1945,2195,2395,5e+05
"Bellevue - West","2019","2",2252,2815.31222167244,1261.36510170375,12,2327,2837,3400,12000
"Bellevue - West","2019","3",222,4060.45911949686,1913.27638577951,47,2643.5,3995,5217.5,9500
"Bellevue - West","2019","4+",52,4433.3947368421,1838.51344972954,50,3500,4150,4983.75,8800
"Bellevue - West","2020","0",473,1664.27962085308,536.324619422259,99,1390.25,1606,1859.25,3347
"Bellevue - West","2020","1",1123,2004.6125498008,686.015596096481,99,1696,2042,2335.25,8500
"Bellevue - West","2020","2",746,2772.55521472393,1067.32891765005,14,2300,2895,3245,10000
